start_date,mid_date,end_date,firm_coarse,firm_index,tpp_alp,tpp_lnc,tpp_alp_se,tpp_lnc_se,day_index
2004-07-16,2004-07-17,2004-07-18,Newspoll,7,0.51,0.49,0.012903061936162584,0.012903061936162584,7
2004-07-17,2004-07-21,2004-07-25,Morgan,6,0.53,0.47,0.014775563121469494,0.014775563121469494,11
2004-07-30,2004-07-31,2004-08-01,Newspoll,7,0.5,0.5,0.012905643322991683,0.012905643322991683,21
2004-07-31,2004-08-04,2004-08-08,Morgan,6,0.535,0.465,0.014765921159717886,0.014765921159717884,25
2004-08-13,2004-08-14,2004-08-15,Newspoll,7,0.54,0.46,0.012864278975168645,0.012864278975168645,35
2004-08-14,2004-08-18,2004-08-22,Morgan,6,0.555,0.445,0.014712405111138378,0.014712405111138378,39
2004-08-27,2004-08-28,2004-08-29,Newspoll,7,0.52,0.48,0.012895314675220274,0.012895314675220274,49
2004-08-28,2004-09-01,2004-09-05,Morgan,6,0.56,0.44,0.014695268634679624,0.014695268634679626,53
2004-09-03,2004-09-04,2004-09-05,Newspoll,7,0.5,0.5,0.012905643322991683,0.012905643322991683,56
2004-09-10,2004-09-11,2004-09-12,Newspoll,7,0.5,0.5,0.012905643322991683,0.012905643322991683,63
2004-09-11,2004-09-12,2004-09-12,Morgan,6,0.545,0.455,0.014742160233275119,0.014742160233275117,64
2004-09-17,2004-09-18,2004-09-19,Newspoll,7,0.525,0.475,0.012889501173681202,0.012889501173681202,70
2004-09-18,2004-09-19,2004-09-19,Morgan,6,0.53,0.47,0.014775563121469494,0.014775563121469494,71
2004-09-24,2004-09-25,2004-09-26,Newspoll,7,0.52,0.48,0.012895314675220274,0.012895314675220274,77
2004-09-25,2004-09-26,2004-09-26,Morgan,6,0.5,0.5,0.014802231160433424,0.014802231160433424,78
2004-10-01,2004-10-02,2004-10-03,Newspoll,7,0.495,0.505,0.012904998024692672,0.012904998024692672,84
2004-10-02,2004-10-03,2004-10-03,Morgan,6,0.515,0.485,0.014795568657010517,0.014795568657010517,85
2004-10-06,2004-10-07,2004-10-07,Newspoll,7,0.5,0.5,0.012905643322991683,0.012905643322991683,89
2004-10-07,2004-10-08,2004-10-08,Morgan,6,0.51,0.49,0.01479927041809749,0.01479927041809749,90
2004-10-09,2004-10-09,2004-10-09,Newspoll,7,0.472,0.528,0.012885391384273744,0.012885391384273744,91
2006-11-24,2006-11-25,2006-11-26,Newspoll,7,0.51,0.49,0.012903061936162584,0.012903061936162584,868
2006-11-25,2006-11-29,2006-12-03,Morgan,6,0.525,0.475,0.014783716792761858,0.014783716792761858,872
2006-12-08,2006-12-09,2006-12-10,Newspoll,7,0.55,0.45,0.012840952974155656,0.012840952974155658,882
2006-12-09,2006-12-10,2006-12-10,Morgan,6,0.59,0.41,0.014560460548812132,0.014560460548812132,883
2006-12-16,2006-12-17,2006-12-17,Morgan,6,0.59,0.41,0.014560460548812132,0.014560460548812132,890
2007-01-06,2007-01-10,2007-01-14,Morgan,6,0.575,0.425,0.014634758667707876,0.014634758667707876,914
2007-01-19,2007-01-20,2007-01-21,Newspoll,7,0.55,0.45,0.012840952974155656,0.012840952974155658,924
2007-01-20,2007-01-24,2007-01-28,Morgan,6,0.545,0.455,0.014742160233275119,0.014742160233275117,928
2007-02-02,2007-02-03,2007-02-04,Newspoll,7,0.56,0.44,0.01281238574639102,0.012812385746391021,938
2007-02-03,2007-02-04,2007-02-04,Morgan,6,0.575,0.425,0.014634758667707876,0.014634758667707876,939
